subscriber_number,fid,created_at_timestamp
407,248704,1748376545.19567
408,433931,1748376545.20113
409,234561,1748376545.21883
410,243139,1748376545.22726
411,7766,1748376545.23345
412,360066,1748376546.68564
413,347803,1748376546.68604
414,192695,1748376546.68873
415,617,1748376546.69215
416,344620,1748376546.70170
417,386000,1748376546.71385
418,4665,1748376546.88667
419,1010666,1748376546.88712
420,385482,1748376546.88765
421,1073987,1748376546.88809
422,285410,1748376546.90003
423,531577,1748376548.13582
424,453785,1748376548.14107
425,892485,1748376548.14400
426,196356,1748376548.16045
427,804290,1748376549.17789
428,747539,1748376549.17898
429,915330,1748376549.18314
430,1078944,1748376549.18989
431,1091093,1748376549.19040
432,227834,1748376549.20338
433,521891,1748376550.69165
434,1161,1748376550.70025
435,519861,1748376550.70112
436,397592,1748376550.71269
437,189503,1748376550.91302
438,15499,1748376550.91541
439,192490,1748376553.18172
440,189851,1748376553.18454
441,217800,1748376553.18898
442,652582,1748376553.19752
443,387520,1748376554.70399
444,15513,1748376554.70431
445,355748,1748376554.70700
446,491878,1748376554.70957
447,1091028,1748376554.71063
448,9135,1748376554.71525
449,398620,1748376554.94179
450,1091016,1748376554.94310
451,2600,1748376554.96083
452,251930,1748376554.96233
453,564521,1748376554.96392
454,496131,1748376554.96972
455,14369,1748376554.99531
456,1472,1748376556.14736
457,302287,1748376556.14986
458,195125,1748376556.16008
459,13674,1748376557.20919
460,16895,1748376557.21268
461,239494,1748376557.21587
462,320787,1748376557.21799
463,1091013,1748376557.22892
464,4290,1748376558.72065
465,273019,1748376558.72100
466,466312,1748376558.72322
467,18621,1748376558.75010
468,348250,1748376558.94331
469,328907,1748376558.94709
470,19314,1748376558.94796
471,316652,1748376558.95551
472,1091158,1748376558.95596
473,395331,1748376558.95637
474,2783,1748376558.96053
475,4895,1748376558.96723
476,256344,1748376558.97152
477,239550,1748376558.98849
478,17671,1748376559.00846
479,241802,1748376559.00869
480,16538,1748376559.02018
481,253261,1748376560.19189
482,17064,1748376560.19239
483,522757,1748376560.19756
484,1048890,1748376560.19800
485,855170,1748376560.21338
486,1022041,1748376560.22242
487,338870,1748376561.21721
488,16617,1748376561.22184
489,309833,1748376561.22332
490,254126,1748376561.22440
491,710,1748376561.22718
492,1091034,1748376561.22792
493,316945,1748376561.22823
494,238236,1748376561.23003
495,246822,1748376561.23159
496,421753,1748376561.23516
497,385727,1748376561.82856
498,193359,1748376562.74838
499,353604,1748376562.75884
500,449326,1748376562.76776
501,566735,1748376562.77268
502,281602,1748376562.77691
503,573790,1748376562.94526
504,2201,1748376562.94579
505,503467,1748376564.20659
506,935006,1748376564.20781
507,896292,1748376564.20880
508,4894,1748376565.22559
509,393310,1748376565.23333
510,193498,1748376565.24198
511,190218,1748376565.25100
512,297256,1748376565.25985
513,8191,1748376565.26436
514,565658,1748376565.68694
515,251533,1748376566.74775
516,18624,1748376566.74775
517,23282,1748376566.75432
518,422780,1748376566.75806
519,417851,1748376566.75897
520,1091166,1748376566.76494
521,516580,1748376566.76906
522,12090,1748376566.79693
523,190932,1748376566.95452
524,402177,1748376566.95632
525,197007,1748376566.95903
526,325238,1748376566.96194
527,18629,1748376566.96281
528,589773,1748376567.02467
529,4375,1748376568.20618
530,307047,1748376568.20657
531,230724,1748376568.21610
532,277388,1748376568.22109
533,466111,1748376568.22914
534,290918,1748376568.22988
535,1038572,1748376568.23025
536,351855,1748376568.23059
537,1091110,1748376568.26471
538,421001,1748376568.27334
539,8425,1748376568.27919
540,1091170,1748376569.23855
541,333044,1748376569.24295
542,340637,1748376569.24336
543,14513,1748376569.24516
544,1005658,1748376569.24858
545,12425,1748376569.24899
546,17918,1748376569.25117
547,836506,1748376570.76266
548,546879,1748376570.77552
549,3647,1748376570.77729
550,440939,1748376570.78594
551,936763,1748376570.78833
552,1054,1748376570.78866
553,284873,1748376570.80137
554,17165,1748376570.80169
555,337059,1748376570.80297
556,522740,1748376570.97320
557,234578,1748376570.97768
558,520229,1748376570.99973
559,936905,1748376571.00708
560,571109,1748376571.85554
561,480509,1748376572.20856
562,1706,1748376572.21646
563,673725,1748376572.23332
564,243912,1748376572.23733
565,424452,1748376572.23799
566,247950,1748376572.23843
567,733835,1748376572.23886
568,831008,1748376572.24335
569,192631,1748376572.24373
570,433728,1748376573.26852
571,14642,1748376573.27259
572,419741,1748376574.99913
573,273600,1748376575.01691
574,21114,1748376576.24024
575,438139,1748376577.26010
576,190802,1748376577.26460
577,275865,1748376577.28218
578,253323,1748376577.28246
579,13182,1748376578.79417
580,12977,1748376578.79478
581,296241,1748376578.79619
582,263977,1748376578.81127
583,211642,1748376578.81439
584,1091043,1748376579.02101
585,330148,1748376579.02433
586,555722,1748376579.02791
587,370474,1748376579.02838
588,632016,1748376579.02871
589,266312,1748376579.03110
590,6357,1748376580.25670
591,291686,1748376580.26933
592,8,1748376580.26983
593,793748,1748376580.27040
594,736605,1748376580.27093
595,621581,1748376580.29515
596,15322,1748376580.29563
597,2755,1748376580.29605
598,269927,1748376580.30645
599,416148,1748376580.30806
600,462491,1748376580.32966
601,524433,1748376581.28083
602,10976,1748376581.28817
603,397950,1748376581.29076
604,296658,1748376581.29916
605,16214,1748376581.31471
606,377128,1748376581.35839
607,211626,1748376582.81436
608,334818,1748376582.82164
609,20398,1748376582.82223
610,501715,1748376582.82270
611,297819,1748376582.82980
612,2443,1748376582.83252
613,230781,1748376582.83292
614,295774,1748376582.85927
615,190974,1748376583.03267
616,1023320,1748376583.03335
617,238289,1748376583.03597
618,570103,1748376584.25365
619,261300,1748376584.25841
620,976364,1748376584.26449
621,271664,1748376584.26834
622,14866,1748376585.29232
623,298242,1748376585.29411
624,1021488,1748376585.35152
625,572111,1748376586.82728
626,749380,1748376586.83521
627,18846,1748376586.83566
628,263892,1748376586.84366
629,385231,1748376587.06776
630,377344,1748376587.07742
631,849333,1748376587.07792
632,13969,1748376587.07841
633,1088249,1748376587.07887
634,265784,1748376587.08577
635,238596,1748376587.10805
636,314649,1748376588.26528
637,213263,1748376588.27539
638,236237,1748376588.27578
639,203730,1748376588.27617
640,279037,1748376588.27666
641,17354,1748376589.30776
642,1091201,1748376589.31535
643,535712,1748376589.32788
644,478430,1748376589.33097
645,17714,1748376589.33217
646,214447,1748376589.33255
647,397392,1748376589.33290
648,245024,1748376589.35353
649,832040,1748376590.82866
650,18847,1748376590.82906
651,1091100,1748376590.85164
652,15156,1748376590.85918
653,284291,1748376591.05679
654,628411,1748376591.06949
655,297420,1748376591.07538
656,969231,1748376591.07653
657,297331,1748376591.07728
658,2350,1748376591.07775
659,316253,1748376591.09473
660,269523,1748376592.28968
661,269694,1748376592.29018
662,1010547,1748376592.29102
663,434437,1748376592.29152
664,973659,1748376593.31692
665,240870,1748376593.32400
666,1090879,1748376593.32465
667,229028,1748376593.32828
668,1626,1748376593.33728
669,14641,1748376593.34159
670,240407,1748376593.34313
671,8207,1748376593.34354
672,344987,1748376593.34460
673,1091134,1748376594.85161
674,18561,1748376594.87021
675,234462,1748376594.87116
676,227850,1748376595.05914
677,535389,1748376595.08381
678,832082,1748376595.08603
679,315616,1748376595.08817
680,2598,1748376595.09158
681,214013,1748376596.31645
682,221501,1748376596.31832
683,17652,1748376596.32440
684,635330,1748376596.34034
685,254199,1748376596.42240
686,8419,1748376597.34930
687,580686,1748376597.42652
688,12682,1748376597.43366
689,16301,1748376598.87911
690,454577,1748376598.93555
691,19252,1748376598.93842
692,403292,1748376598.93909
693,332377,1748376598.93980
694,291593,1748376599.08689
695,20264,1748376599.09087
696,1504,1748376599.10337
